SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE_x,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT_x,AMT_ANNUITY_x,AMT_GOODS_PRICE_x,NAME_TYPE_SUITE_x,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START_x,HOUR_APPR_PROCESS_START_x,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,SK_ID_PREV,NAME_CONTRACT_TYPE_y,AMT_ANNUITY_y,AMT_APPLICATION,AMT_CREDIT_y,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE_y,WEEKDAY_APPR_PROCESS_START_y,HOUR_APPR_PROCESS_START_y,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE_y,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL

321097,0,Cash loans,F,Y,Y,0,180000.0,225000.0,15165.0,225000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.031329,-12520,-824,-2946.0,-3764,5.0,1,1,1,1,1,0,Managers,2.0,2,2,MONDAY,8,0,0,0,0,0,0,Trade: type 7,0.5510842793781057,0.6480114890891352,0.3672910183026313,0.0773,0.0964,0.9906,0.8708,0.0,0.0,0.2759,0.1667,0.2083,0.0918,0.063,0.0871,0.0,0.0,0.0788,0.1001,0.9906,0.8759,0.0,0.0,0.2759,0.1667,0.2083,0.0939,0.0689,0.0908,0.0,0.0,0.0781,0.0964,0.9906,0.8725,0.0,0.0,0.2759,0.1667,0.2083,0.0934,0.0641,0.0887,0.0,0.0,reg oper account,block of flats,0.0685,Block,No,0.0,0.0,0.0,0.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1873807,Revolving loans,0.0,0.0,0.0,,0.0,TUESDAY,9,Y,1,,,,XAP,Approved,-356,XNA,XAP,,Refreshed,XNA,Cards,walk-in,Country-wide,20,Connectivity,0.0,XNA,Card Street,,,,,,

419357,0,Cash loans,F,N,Y,2,180000.0,454500.0,14661.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0196889999999999,-20074,-604,-867.0,-3466,,1,1,1,1,1,0,Laborers,4.0,2,2,WEDNESDAY,15,0,0,0,0,0,0,Business Entity Type 2,,0.2789448429340865,0.5334816299804352,0.0227,0.0,0.9722,,,0.0,0.0345,0.0417,,0.0047,,0.0098,,0.0,0.0231,0.0,0.9722,,,0.0,0.0345,0.0417,,0.0048,,0.0102,,0.0,0.0229,0.0,0.9722,,,0.0,0.0345,0.0417,,0.0048,,0.01,,0.0,,block of flats,0.0077,"Stone, brick",No,1.0,0.0,1.0,0.0,-1804.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,1086782,Consumer loans,15317.55,148500.0,221544.0,14850.0,148500.0,SATURDAY,17,Y,1,0.0684154420162948,,,XAP,Approved,-767,XNA,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Stone,37,Connectivity,36.0,high,POS mobile with interest,,,,,,

152278,0,Cash loans,M,Y,Y,0,198000.0,622413.0,25479.0,495000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.030755,-21306,-2825,-13600.0,-2985,4.0,1,1,0,1,0,0,Drivers,2.0,2,2,THURSDAY,11,0,0,0,0,0,0,Transport: type 4,,0.7509828835108014,0.7338145369642702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-786.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,2695093,Cash loans,,0.0,0.0,,,WEDNESDAY,15,Y,1,,,,XNA,Canceled,-190,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,

344827,0,Cash loans,M,Y,Y,1,202500.0,1006920.0,42790.5,900000.0,Unaccompanied,Commercial associate,Incomplete higher,Civil marriage,House / apartment,0.018029,-17382,-1318,-3167.0,-481,16.0,1,1,0,1,0,0,Laborers,3.0,3,3,MONDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.6470532309288888,,0.1,0.0833,0.9866,,,,0.1724,0.1667,,0.0463,,0.0643,,0.0791,0.1019,0.0864,0.9866,,,,0.1724,0.1667,,0.0474,,0.0669,,0.0838,0.101,0.0833,0.9866,,,,0.1724,0.1667,,0.0471,,0.0654,,0.0808,,block of flats,0.083,Mixed,No,1.0,1.0,1.0,0.0,-540.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2537825,Consumer loans,29445.39,282433.5,250492.5,45000.0,282433.5,SUNDAY,14,Y,1,0.1658556170091995,,,XAP,Approved,-540,Cash through the bank,XAP,,Refreshed,Consumer Electronics,POS,XNA,Country-wide,2417,Consumer electronics,10.0,middle,POS household with interest,365243.0,-509.0,-239.0,-239.0,-225.0,0.0

180505,0,Cash loans,M,N,Y,1,296235.0,225000.0,11074.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0228,-11751,-887,-2770.0,-3568,,1,1,0,1,0,0,Laborers,3.0,2,2,SUNDAY,8,0,0,0,0,0,0,Business Entity Type 1,,0.0271589785932463,0.104119916429159,0.0165,,0.9781,,,,0.0345,0.0417,,,,,,,0.0168,,0.9782,,,,0.0345,0.0417,,,,,,,0.0167,,0.9781,,,,0.0345,0.0417,,,,,,,,block of flats,0.0048,Wooden,No,2.0,0.0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1387669,Consumer loans,5096.115,29430.0,26487.0,2943.0,29430.0,SATURDAY,11,Y,1,0.1089090909090909,,,XAP,Approved,-2710,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Stone,434,Consumer electronics,6.0,high,POS household with interest,365243.0,-2674.0,-2524.0,-2584.0,-2576.0,0.0
