SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE_x,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT_x,AMT_ANNUITY_x,AMT_GOODS_PRICE_x,NAME_TYPE_SUITE_x,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START_x,HOUR_APPR_PROCESS_START_x,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,SK_ID_PREV,NAME_CONTRACT_TYPE_y,AMT_ANNUITY_y,AMT_APPLICATION,AMT_CREDIT_y,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE_y,WEEKDAY_APPR_PROCESS_START_y,HOUR_APPR_PROCESS_START_y,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE_y,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL,id_modified
251204,0,Cash loans,M,Y,N,1,180000.0,805536.0,34128.0,720000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.04622,-13604,-2557,-2736.0,-4731,4.0,1,1,1,1,1,0,Drivers,3.0,1,1,SUNDAY,18,0,0,0,0,0,0,Business Entity Type 3,0.6318431133949016,0.7587075004616761,0.6127042441012546,,,,,,,0.0345,0.4583,,,,,,,,,,,,,0.0345,0.4583,,,,,,,,,,,,,0.0345,0.4583,,,,,,,,,0.0567,,No,0.0,0.0,0.0,0.0,-2501.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,5.0,1913133,Consumer loans,,91575.0,91575.0,0.0,91575.0,FRIDAY,16,Y,1,0.0,,,XAP,Unused offer,-556,Cash through the bank,CLIENT,,Repeater,Mobile,XNA,XNA,Country-wide,20,Connectivity,,XNA,POS mobile with interest,,,,,,,
265599,0,Cash loans,F,Y,N,0,135000.0,472500.0,46161.0,454500.0,Family,Working,Incomplete higher,Married,House / apartment,0.016612,-13189,-1164,-930.0,-3869,2.0,1,1,0,1,1,0,Laborers,2.0,2,2,SUNDAY,12,1,1,0,1,1,0,Self-employed,0.755019316545078,0.3811974508999626,0.4101025731788671,0.4505,0.4292,0.994,,,0.44,0.3793,0.375,,0.283,,0.521,,0.0483,0.459,0.4454,0.994,,,0.4431,0.3793,0.375,,0.2895,,0.5428,,0.0511,0.4549,0.4292,0.994,,,0.44,0.3793,0.375,,0.2879,,0.5303,,0.0493,,block of flats,0.4891,Panel,No,2.0,0.0,2.0,0.0,-803.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2726688,Consumer loans,20084.715,198369.0,198819.0,0.0,198369.0,SUNDAY,17,Y,1,0.0,,,XAP,Approved,-505,Cash through the bank,XAP,,Repeater,Furniture,POS,XNA,Country-wide,120,Furniture,12.0,middle,POS industry with interest,365243.0,-474.0,-144.0,-294.0,-288.0,0.0,
337233,0,Cash loans,M,N,Y,0,180000.0,269550.0,18364.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,Rented apartment,0.010966,-10119,-357,-9961.0,-2408,,1,1,0,1,0,0,Waiters/barmen staff,1.0,2,2,TUESDAY,18,0,0,0,0,0,0,Restaurant,,0.6427867629351285,0.3689687382528466,0.0742,0.1236,0.9801,,,0.08,0.069,0.3333,,0.0501,,0.0738,,0.0015,0.0756,0.1283,0.9801,,,0.0806,0.069,0.3333,,0.0513,,0.0769,,0.0016,0.0749,0.1236,0.9801,,,0.08,0.069,0.3333,,0.051,,0.0751,,0.0015,,block of flats,0.0613,Panel,No,0.0,0.0,0.0,0.0,-1080.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1655691,Cash loans,13201.605,90000.0,110146.5,,90000.0,SUNDAY,18,Y,1,,,,XNA,Refused,-758,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,high,Cash X-Sell: high,,,,,,,
303361,0,Revolving loans,F,N,Y,0,157500.0,270000.0,13500.0,180000.0,Unaccompanied,State servant,Higher education,Civil marriage,House / apartment,0.031329,-9423,-1993,-3997.0,-1998,,1,1,1,1,1,1,Managers,2.0,2,2,MONDAY,8,0,0,0,0,0,0,Police,0.6129202308474139,0.3051316821778067,0.3606125659189888,0.1052,,0.9841,,,0.12,0.1034,0.3333,,,,0.1106,,0.1434,0.1071,,0.9841,,,0.1208,0.1034,0.3333,,,,0.1152,,0.1518,0.1062,,0.9841,,,0.12,0.1034,0.3333,,,,0.1126,,0.1464,,,0.1181,,No,0.0,0.0,0.0,0.0,-169.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2831692,Consumer loans,10787.625,125955.0,145908.0,0.0,125955.0,SUNDAY,15,Y,1,0.0,,,XAP,Approved,-169,Cash through the bank,XAP,Family,Repeater,Computers,POS,XNA,Regional / Local,70,Consumer electronics,18.0,middle,POS household with interest,,,,,,,
428074,0,Cash loans,F,N,N,0,90000.0,900000.0,32328.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-19551,-2468,-4672.0,-3083,,1,1,1,1,1,0,Core staff,2.0,2,2,THURSDAY,12,0,0,0,0,0,0,Medicine,0.7954644821811578,0.243137559053679,0.4956658291397297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-1414.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,5.0,2482574,Consumer loans,6577.605,41107.5,36994.5,4113.0,41107.5,SATURDAY,10,Y,1,0.108968701796288,,,XAP,Approved,-1414,Cash through the bank,XAP,Unaccompanied,Refreshed,Construction Materials,POS,XNA,Stone,400,Construction,6.0,low_normal,POS household with interest,365243.0,-1383.0,-1233.0,-1233.0,-1231.0,0.0,
188444,0,Cash loans,M,N,Y,0,135000.0,450000.0,35685.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.026392,-8340,-352,-7405.0,-1003,,1,1,1,1,1,0,,2.0,2,2,THURSDAY,18,0,0,0,0,0,0,Trade: type 7,0.2271269276338811,0.497137261524917,0.2340151665320674,0.1227,0.1213,0.9786,,,0.0,0.2759,0.1667,,0.1733,,0.1036,,0.0374,0.125,0.1258,0.9786,,,0.0,0.2759,0.1667,,0.1773,,0.1079,,0.0396,0.1239,0.1213,0.9786,,,0.0,0.2759,0.1667,,0.1763,,0.1054,,0.0382,,block of flats,0.0896,Panel,No,3.0,0.0,3.0,0.0,-504.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1490620,Consumer loans,7626.78,67225.5,62725.5,4500.0,67225.5,MONDAY,11,Y,1,0.0729025308983806,,,XAP,Approved,-24,XNA,XAP,,Repeater,Mobile,POS,XNA,Country-wide,50,Connectivity,12.0,high,POS mobile with interest,,,,,,,
285851,0,Cash loans,F,N,N,0,112500.0,481495.5,33642.0,454500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.00712,-18652,-2549,-4731.0,-2183,,1,1,0,1,0,0,,2.0,2,2,TUESDAY,15,0,0,0,0,1,1,Business Entity Type 3,,0.2652563401861944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1227221,Consumer loans,10808.28,105507.0,91363.5,21105.0,105507.0,SUNDAY,8,Y,1,0.2043706783353884,,,XAP,Approved,-2389,Cash through the bank,XAP,Children,Repeater,Computers,POS,XNA,Country-wide,1590,Consumer electronics,10.0,middle,POS household with interest,365243.0,-2358.0,-2088.0,-2088.0,-2081.0,1.0,
195947,0,Cash loans,M,Y,Y,0,135000.0,508495.5,20164.5,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-18040,-643,-4133.0,-1598,24.0,1,1,1,1,0,0,Security staff,2.0,3,3,THURSDAY,6,0,0,0,0,0,0,School,,0.4292998319085198,0.4812493411434029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1325.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,3.0,1867726,Cash loans,20004.615,454500.0,544491.0,,454500.0,WEDNESDAY,16,Y,1,,,,XNA,Canceled,-106,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,60.0,middle,Cash X-Sell: middle,,,,,,,
262548,0,Cash loans,F,N,Y,0,180000.0,500490.0,51412.5,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.020246,-20406,365243,-4662.0,-3927,,1,0,0,1,0,0,,2.0,3,3,MONDAY,8,0,0,0,0,0,0,XNA,,0.7726825223904917,0.633031641417419,0.033,0.0491,0.9921,0.8912,0.0164,0.04,0.0345,0.375,0.0417,0.3275,0.0269,0.0778,0.0039,0.0311,0.0336,0.0509,0.9921,0.8955,0.0165,0.0403,0.0345,0.375,0.0417,0.3349,0.0294,0.0811,0.0039,0.0329,0.0333,0.0491,0.9921,0.8927,0.0165,0.04,0.0345,0.375,0.0417,0.3332,0.0274,0.0792,0.0039,0.0317,org spec account,block of flats,0.0771,Panel,No,0.0,0.0,0.0,0.0,-2375.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,2255454,Cash loans,,0.0,0.0,,,MONDAY,11,Y,1,,,,XNA,Canceled,-399,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,,
355561,0,Cash loans,F,Y,Y,1,225000.0,473760.0,51151.5,450000.0,Unaccompanied,Commercial associate,Higher education,Married,Rented apartment,0.04622,-12581,-462,-49.0,-2038,2.0,1,1,0,1,0,0,Realty agents,3.0,1,1,THURSDAY,13,0,0,0,0,0,0,Realtor,0.4018129019252733,0.7809429835334349,,0.0247,0.0171,0.9588,0.4356,,0.0,0.1034,0.125,,0.0126,,0.0311,,0.0,0.0252,0.0178,0.9588,0.4577,,0.0,0.1034,0.125,,0.0129,,0.0324,,0.0,0.025,0.0171,0.9588,0.4431,,0.0,0.1034,0.125,,0.0128,,0.0317,,0.0,reg oper account,block of flats,0.0245,"Stone, brick",No,1.0,0.0,1.0,0.0,-638.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1474278,Consumer loans,17187.615,142515.0,139549.5,14251.5,142515.0,WEDNESDAY,20,Y,1,0.1009172833135616,,,XAP,Approved,-638,Cash through the bank,XAP,,New,Computers,POS,XNA,Stone,50,Connectivity,10.0,middle,POS household with interest,365243.0,-607.0,-337.0,-337.0,-326.0,0.0,
